DC-01,RHa-36,AcT-09,RHa-51,null,0.549357616
DC-01,RHa-36,AcT-09,null,null,0.997457215
DC-01,RHa-36,RHa-51,AcT-11,null,0.702909277
DC-01,AcT-09,RHa-51,NMT-05,null,0.574744753
DC-01,RHa-36,RHa-51,NMT-17,null,0.906472942
DC-01,AcT-09,RHa-51,null,null,0.395267012
DC-01,RHa-36,RHa-51,null,null,0.468598739
DC-01,RHa-51,null,null,null,0.58422494
RHa-36,AcT-09,RHa-51,DC-02,null,0.630616921
RHa-36,AcT-09,DC-02,null,null,0.008373412
RHa-36,RHa-51,AcT-11,DC-02,null,0.779743324
AcT-09,RHa-51,NMT-05,DC-02,null,0.431567951
RHa-36,RHa-51,NMT-17,DC-02,null,1.025960004
AcT-09,RHa-51,DC-02,null,null,0.639136436
RHa-36,RHa-51,DC-02,null,null,0.644147916
RHa-51,DC-02,null,null,null,0.812670301
RHa-36,RHa-51,NMT-17,AAF-20,null,0.912939292
RHa-36,AcT-09,RHa-51,AAF-27,null,-0.033697879
RHa-36,AcT-09,AAF-27,null,null,1.006341201
RHa-36,RHa-51,AcT-11,AAF-27,null,0.865829174
AcT-09,RHa-51,NMT-05,AAF-27,null,0.563128998
AcT-09,RHa-51,AAF-27,null,null,-0.074135334
RHa-36,RHa-51,AAF-27,null,null,-0.026958303
RHa-51,AAF-27,null,null,null,0.400051045
AcT-09,NMT-05,DC-02,null,null,-0.006739576
AcT-09,DC-02,null,null,null,-1.96012E-16
AcT-09,AAF-27,null,null,null,-1.96012E-16
DC-01,RHa-36,AcT-05,RHa-18,null,0.807016924
DC-01,RHa-36,RHa-51,AcT-05,null,0.60656182
DC-01,RHa-36,AcT-05,null,null,0.833991868
DC-01,RHa-36,AcT-09,RHa-18,null,0.869163979
DC-01,RHa-36,AcT-11,RHa-18,null,0.491842519
DC-01,RHa-36,AcT-11,null,null,0.676364569
DC-01,RHa-36,null,null,null,0.271508624
DC-01,RHa-51,NMT-05,AcT-05,null,0.71344728
DC-01,RHa-51,AcT-11,NMT-05,null,0.837190103
DC-01,RHa-51,NMT-17,RHa-18,null,0.766910652
DC-01,RHa-51,NMT-17,null,null,0.667821546
DC-01,RHa-51,AcT-05,RHa-18,null,0.705789113
DC-01,RHa-51,AcT-05,null,null,-0.020218727
DC-01,AcT-09,RHa-51,RHa-18,null,0.64203335
DC-01,RHa-51,AcT-11,RHa-18,null,0.627706643
DC-01,RHa-51,AcT-11,null,null,0.782847979
DC-01,RHa-51,RHa-18,null,null,0.81816724
RHa-36,DC-02,AcT-05,RHa-18,null,0.518342464
RHa-36,DC-02,AcT-05,null,null,-0.033697879
RHa-36,AcT-09,DC-02,RHa-18,null,1.176122673
RHa-36,AcT-11,DC-02,RHa-18,null,0.80983023
RHa-36,AcT-11,DC-02,null,null,-0.008371512
RHa-36,DC-02,null,null,null,0.214882233
RHa-51,NMT-05,DC-02,AcT-05,null,0.829705418
RHa-51,AcT-11,NMT-05,DC-02,null,0.225386871
DC-01,RHa-36,NMT-05,null,null,0.241529277
DC-01,RHa-36,RHa-51,NMT-05,null,0.808208698
RHa-36,RHa-51,NMT-05,DC-02,null,0.507103055
RHa-51,NMT-05,DC-02,null,null,1.033132675
RHa-36,NMT-05,AAF-20,null,null,0.881960291
RHa-36,NMT-05,AAF-27,null,null,0.897472069
RHa-36,RHa-51,NMT-05,AAF-27,null,0.981117098
RHa-36,RHa-51,NMT-17,AAF-27,null,1.063467513
NMT-05,DC-02,null,null,null,0.952276778
NMT-05,AAF-20,null,null,null,0.717088273
AcT-09,AAF-20,null,null,null,0.713297514
AcT-09,NMT-05,AAF-27,null,null,0.772057929
DC-01,AcT-09,NMT-05,RHa-18,null,0.524439934
DC-01,AcT-11,NMT-05,RHa-18,null,0.75336071
DC-01,RHa-36,NMT-05,RHa-18,null,1.029484718
DC-01,RHa-51,NMT-05,RHa-18,null,0.77388192
DC-01,NMT-05,RHa-18,null,null,0.596980058
DC-01,RHa-36,NMT-17,RHa-18,null,0.797702926
DC-01,NMT-17,RHa-18,null,null,0.496470311
NMT-05,DC-02,AcT-05,RHa-18,null,0.639858466
AcT-09,NMT-05,DC-02,RHa-18,null,0.84354412
AcT-11,NMT-05,DC-02,RHa-18,null,0.443625505
