PhlF_DC-01_LuxB
LuxB_RHa-36_CymRC
CymRC_NMT-05_Tac
Tac_AcT-09_J23102
J23102_rebF_end
CymRC_NMT-05_Tet
Tet_RHa-51_J23102
CymRC_NMT-05_J23102
CymRC_NMT-17_Tet
LuxB_RHa-36_Tac
Tac_AcT-09_Tet
Tac_AcT-11_Tet
LuxB_RHa-36_Tet
LuxB_RHa-51_CymRC
Tet_RHa-36_J23102
LuxB_RHa-51_Tac
LuxB_RHa-51_Tet
LuxB_RHa-51_J23102
PhlF_DC-02_LuxB
PhlF_AAF-20_LuxB
PhlF_AAF-27_LuxB
PhlF_DC-02_CymRC
PhlF_DC-02_Tac
PhlF_AAF-20_CymRC
PhlF_AAF-20_Tac
PhlF_AAF-27_CymRC
PhlF_AAF-27_Tac
LuxB_RHa-18_CymRC
Tac_AcT-05_J23102
Tac_AcT-11_J23102
CymRC_NMT-13_Tac
CymRC_NMT-17_J23102
Tet_RHa-18_J23102
Tac_AcT-05_Tet
LuxB_RHa-36_J23102
PhlF_AAF-18_LuxB
PhlF_DC-06_LuxB
CymRC_NMT-17_Tac
PhlF_DC-01_CymRC
PhlF_DC-01_Tac
PhlF_DC-06_CymRC
PhlF_DC-06_Tac
PhlF_AAF-18_CymRC
PhlF_AAF-18_Tac
LuxB_RHa-18_Tac
LuxB_RHa-18_Tet
LuxB_RHa-18_J23102
CymRC_NMT-13_Tet
CymRC_NMT-13_J23102
