Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Partname,DC-01,RHa-36,AcT-09,RHa-51,AcT-11,NMT-05,NMT-17,DC-02,AAF-20,AAF-27,AcT-05,RHa-18,DC-06,AAF-18,NMT-13

AVERAGE,0.6415990312298849,0.7060866790694447,0.6791700640222221,0.7140345277454541,0.7029918413292684,0.7119768036,0.7692080379058823,0.6587991639222224,0.8270010542857144,0.7103343451875003,0.7295336622025317,0.7226229419852943,0.8581120455617974,0.6547255778235294,0.8064331733703705
STDEV,0.2576821041034923,0.316723295140415,0.308037492344951,0.29588255538383607,0.2826407676776602,0.2352025180573058,0.21795548116883556,0.3323218362938261,0.19414876717787466,0.30482482617996426,0.2886977320908281,0.2726771765171053,0.1596724050351451,0.20548611032062802,0.23943069488663193
MIN,-0.020218727,-0.04717703,-0.074135334,-0.074135334,-0.04717703,-0.006739576,0.166587495,-0.033697879,0.57661148,-0.074135334,-0.033697879,-0.033697879,0.387973127,0.284630742,0.167147557
MAX,1.32320041,1.342834095,1.32320041,1.211224344,1.211224344,1.32320041,1.279871552,1.282843282,1.184043717,1.211224344,1.362145754,1.362145754,1.362145754,1.011613511,1.362145754
